Thu Feb 2 05:54:34 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 85745554
numbers of Z: 35096
shape of features
(35096,)
shape of features
(35096,)
ZX	Vol	Parts	Cubes	Eps
X	0.023518385371761284	283406	283.406	0.043618040759176066
X	0.024097491643338166	14568	14.568	0.11826529021339277
X	0.023008327055690392	92464	92.464	0.06289808962131298
X	0.023101624032750463	46038	46.038	0.079464902406416
X	0.024465512047968936	48465	48.465	0.079623640618612
X	0.024165957331830103	107920	107.92	0.0607249765677547
X	0.024636627335316554	749045	749.045	0.03203989727155252
X	0.02430079538547425	26810	26.81	0.09677753547526538
X	0.022987567220436954	27317	27.317	0.09441043598211582
X	0.02304142578220624	219861	219.861	0.04714696236571275
X	0.02298670196591078	33844	33.844	0.0879019129051483
X	0.024870530991037927	948118	948.118	0.02971261588962209
X	0.022790904680449992	11749	11.749	0.12471543915521716
X	0.024314362158324235	225594	225.594	0.047589569790177845
X	0.024934294976584465	750110	750.11	0.03215318844807931
X	0.02296018182509515	7145	7.145	0.14756760539060262
X	0.022979083834691032	387394	387.394	0.038999580885814
X	0.02344278405282177	36448	36.448	0.08632007881279131
X	0.024975393485213347	1107166	1107.166	0.02825529632109725
X	0.022861124231871602	19309	19.309	0.10579032070859254
X	0.02297720621489093	53296	53.296	0.07554415519336141
X	0.022836422985682815	10095	10.095	0.13127254904491278
X	0.02434901890357917	12342	12.342	0.12541957022835065
X	0.02288592544870151	16085	16.085	0.11247322236448447
X	0.02331433405274809	80095	80.095	0.06627339258783053
X	0.02313058207771506	53512	53.512	0.07560986447805206
X	0.024264548043385327	269031	269.031	0.04484595672559266
X	0.02320467251477427	34069	34.069	0.08798433430035559
X	0.022861107893499193	12710	12.71	0.12161409367468412
X	0.02293898511885813	15566	15.566	0.11379741352212806
X	0.02488542611755951	506474	506.474	0.03662654685158253
X	0.02481286468288983	222946	222.946	0.04810155033360896
X	0.024923141420955034	736354	736.354	0.032347350211893104
X	0.024422767939543292	57801	57.801	0.07503890884630374
X	0.022961898208073487	20315	20.315	0.1041670392229307
X	0.02289562960491561	8112	8.112	0.14132149277303643
X	0.023432154373994995	20172	20.172	0.10512058121760061
X	0.02495637668170894	1212996	1212.996	0.027401482146463433
X	0.023159285460503384	20625	20.625	0.10393864868212878
X	0.022996145131106427	38693	38.693	0.08407642028676297
X	0.023036219106040652	202011	202.011	0.048492963707392395
X	0.024478916028568994	77655	77.655	0.06805722748511446
X	0.022913934903784534	24463	24.463	0.09784305097405036
X	0.023009875187859245	8653	8.653	0.13854234034515836
X	0.024336243427068575	359941	359.941	0.040738722612724564
X	0.024246360948821225	94594	94.594	0.06352251121131249
X	0.022945620193222913	126447	126.447	0.05661485815439539
X	0.024615713762678182	118120	118.12	0.05928748097521918
X	0.02496631690450665	201121	201.121	0.049884507213029276
